serial_num	species	lib_type	srr_number	URL	title	A1	C1	G1	T1	N1	A2	C2	G2	T2	N2	A3	C3	G3	T3	N3	A4	C4	G4	T4	N4	A5	C5	G5	T5	N5	A6	C6	G6	T6	N6	A7	C7	G7	T7	N7	A8	C8	G8	T8	N8	A9	C9	G9	T9	N9	A10	C10	G10	T10	N10	A11	C11	G11	T11	N11	A12	C12	G12	T12	N12	A13	C13	G13	T13	N13	A14	C14	G14	T14	N14	A15	C15	G15	T15	N15	A16	C16	G16	T16	N16	A17	C17	G17	T17	N17	A18	C18	G18	T18	N18	A19	C19	G19	T19	N19	A20	C20	G20	T20	N20	A21	C21	G21	T21	N21	A22	C22	G22	T22	N22	A23	C23	G23	T23	N23	A24	C24	G24	T24	N24	A25	C25	G25	T25	N25	A26	C26	G26	T26	N26	A27	C27	G27	T27	N27	A28	C28	G28	T28	N28	A29	C29	G29	T29	N29	A30	C30	G30	T30	N30	A31	C31	G31	T31	N31	A32	C32	G32	T32	N32	A33	C33	G33	T33	N33	A34	C34	G34	T34	N34	A35	C35	G35	T35	N35	A36	C36	G36	T36	N36	A37	C37	G37	T37	N37	A38	C38	G38	T38	N38	A39	C39	G39	T39	N39	A40	C40	G40	T40	N40	A41	C41	G41	T41	N41	A42	C42	G42	T42	N42	A43	C43	G43	T43	N43	A44	C44	G44	T44	N44	A45	C45	G45	T45	N45	A46	C46	G46	T46	N46	A47	C47	G47	T47	N47	A48	C48	G48	T48	N48	A49	C49	G49	T49	N49	A50	C50	G50	T50	N50	
entry_no	species	type	SRR	URL	title	
entry_no	species	type	SRR	URL	title	
16629	Mus musculus	ATAC-seq	SRR12005418	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/018/SRR12005418/SRR12005418_1.fastq.gz	Memory OT-I cells	21	25	41	11	0	21	25	17	35	0	23	27	20	29	0	17	32	15	34	0	35	14	14	34	0	34	15	32	17	0	30	19	28	21	0	34	19	25	21	0	16	36	24	22	0	28	21	17	33	0	23	20	34	21	0	26	23	21	28	0	21	24	29	24	0	23	29	21	25	0	30	23	23	22	0	28	22	22	26	0	29	21	21	27	0	28	21	21	28	0	27	22	22	27	0	28	21	21	27	0	28	22	22	26	0	28	22	22	26	0	28	22	22	26	0	28	22	22	27	0	27	22	22	27	0	27	22	22	27	0	27	22	22	27	0	27	22	21	28	0	27	22	22	28	0	27	22	21	27	0	27	22	22	28	0	27	22	21	28	0	27	22	21	28	0	27	22	22	28	0	27	22	21	27	0	27	22	21	27	0	26	23	21	28	0	27	22	21	28	0	26	23	21	28	0	25	22	21	29	0	25	23	21	29	0	25	23	21	29	0	24	24	20	30	0	24	24	20	31	0	24	23	20	31	0	23	24	19	32	0	24	24	19	32	0	25	23	18	32	0	25	23	18	31	0	26	24	17	31	0
16642	Homo sapiens	ATAC-seq	SRR11040420	ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/020/SRR11040420/SRR11040420.fastq.gz	Epigenomics-Based Identification of Estrogen-regulated Long Noncoding RNAs in ER+ Breast Cancer	18	25	42	10	2	20	27	20	31	0	20	30	20	27	0	15	36	16	31	0	33	17	17	31	0	31	16	36	15	0	28	20	30	19	0	30	21	27	19	0	14	39	25	20	0	26	23	17	31	0	21	22	36	19	0	24	25	22	27	0	20	25	31	22	0	20	32	22	24	0	27	25	26	20	0	26	24	25	23	0	26	24	24	25	0	25	24	24	25	0	25	24	23	26	0	26	23	24	25	0	25	24	24	24	0	25	24	24	25	0	25	24	24	25	0	25	24	24	25	0	25	25	24	25	0	25	24	24	25	0	25	24	23	26	0	25	24	23	26	0	25	24	23	26	0	25	24	24	25	0	25	24	24	25	0	25	24	24	25	0	25	24	24	26	0	24	24	24	26	0	24	24	24	26	0	25	24	23	25	0	25	24	23	26	0	24	24	23	26	0	24	24	23	27	0	24	24	23	27	0	24	24	23	27	0	24	24	23	27	0	23	25	23	27	0	23	25	23	27	0	24	25	22	27	0	24	24	22	28	0	24	24	21	28	0	24	24	21	28	0	25	24	21	28	0	25	24	21	28	0
16068	Mus musculus	ATAC-seq	SRR12280201	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/001/SRR12280201/SRR12280201_1.fastq.gz	Endothelial GATA4 controls liver fibrosis and regeneration by preventing a pathogenic switch in angiocrine signaling	23	25	38	12	0	24	23	16	35	0	26	25	18	29	0	19	30	13	36	0	37	14	13	34	0	37	13	30	18	0	30	18	26	24	0	35	18	23	22	0	17	35	23	23	0	29	19	15	35	0	24	19	32	23	0	27	21	20	31	0	23	22	27	25	0	24	28	19	27	0	32	21	22	23	0	30	21	21	27	0	30	20	20	28	0	29	20	20	30	0	29	20	20	29	0	29	19	20	29	0	28	21	20	28	0	30	20	20	28	0	30	20	20	28	0	29	20	21	28	0	29	20	20	28	0	29	20	20	29	0	29	20	20	29	0	29	21	19	29	0	29	21	20	28	0	29	20	20	29	0	29	20	20	29	0	29	20	20	29	0	29	20	20	29	0	29	20	20	29	0	29	20	20	29	0	29	20	20	29	0	29	21	20	29	0	29	20	20	29	0	29	20	20	29	0	28	20	21	29	0	29	20	21	29	0	29	20	20	29	0	29	20	20	29	0	29	21	20	29	0	28	21	20	28	0	28	21	20	29	0	29	20	20	29	0	29	20	20	29	0	29	20	21	28	0	29	20	20	29	0
931	Mus musculus	ATAC-seq	SRR8181315	ftp.sra.ebi.ac.uk/vol1/fastq/SRR818/005/SRR8181315/SRR8181315_1.fastq.gz	Parkinson-associated SNCA enhancer variants revealed by open chromatin in mouse dopamine neurons	20	27	40	11	0	21	25	18	34	0	22	28	20	28	0	16	33	15	34	0	34	15	15	33	0	33	15	33	16	0	29	20	28	21	0	33	19	25	20	0	15	38	24	21	0	27	21	16	33	0	22	21	34	21	0	25	23	21	29	0	21	24	30	23	0	22	30	20	25	0	29	24	24	22	0	28	22	23	25	0	27	22	22	27	0	27	22	22	27	0	26	23	23	27	0	27	22	22	27	0	26	23	23	26	0	27	23	22	26	0	27	23	23	26	0	27	22	23	26	0	26	23	23	26	0	27	22	22	27	0	27	23	22	26	0	27	23	22	27	0	27	23	22	26	0	26	23	22	26	0	26	23	23	26	0	27	23	22	26	0	26	23	23	26	0	27	22	23	27	0	27	23	22	26	0	27	22	22	27	0	26	23	22	26	0	27	23	22	27	0	27	23	22	27	0	27	22	22	27	0	26	22	23	27	0	26	23	23	26	0	27	22	23	26	0	27	22	22	26	0	27	23	22	26	0	26	23	22	27	0	26	23	22	27	0	27	23	22	27	0	26	23	23	26	0	27	22	22	26	0
23392	Mus musculus	ATAC-seq	SRR6364217	ftp.sra.ebi.ac.uk/vol1/fastq/SRR636/007/SRR6364217/SRR6364217_1.fastq.gz	Genome-wide maps of chromatin accessibility in response to Hh signaling in mouse embryonic forelimb buds	22	25	34	17	0	21	26	16	36	0	24	28	17	30	0	20	29	14	35	0	34	16	17	31	0	33	16	30	18	0	30	20	27	21	0	32	20	24	22	0	18	34	24	22	0	29	21	17	32	0	23	20	32	23	0	25	23	22	28	0	22	24	27	25	0	23	28	21	26	0	29	24	23	23	0	28	22	22	26	0	28	22	22	27	0	28	21	21	27	0	27	22	22	27	0	27	22	22	27	0	27	22	22	27	0	27	22	21	27	0	28	22	22	27	0	28	22	21	27	0	27	22	22	27	0	28	22	22	27	0	27	22	22	27	0	28	22	21	27	0	28	22	22	27	0	28	22	22	27	0	27	22	22	27	0	27	22	22	27	0	27	22	22	27	0	28	21	22	27	0	27	22	22	27	0	27	22	22	27	0	27	22	22	27	0	27	22	22	27	0	27	22	22	27	0	27	22	22	27	0	27	22	22	27	0	27	22	22	27	0	27	22	22	27	0	27	22	22	27	0	27	22	22	27	0	28	22	21	27	0	27	22	22	27	0	27	22	22	27	0	27	22	22	27	0	28	22	21	27	0
8224	Homo sapiens	ATAC-seq	SRR8723724	ftp.sra.ebi.ac.uk/vol1/fastq/SRR872/004/SRR8723724/SRR8723724.fastq.gz	A Unique Epigenomic Landscape Defines Human Erythropoiesis	19	25	41	12	0	18	28	21	31	0	20	30	22	26	0	14	36	16	32	0	32	16	11	39	0	32	16	35	15	0	27	22	31	19	0	31	22	28	18	0	14	41	24	20	0	24	26	19	29	0	21	20	38	19	0	23	28	22	26	0	18	26	32	22	0	19	35	22	22	0	25	26	27	20	0	25	25	26	22	0	25	25	24	24	0	25	25	24	24	0	24	24	25	24	0	25	24	24	24	0	24	25	25	24	0	24	25	25	24	0	24	25	25	24	0	24	25	25	24	0	24	25	25	24	0	24	25	24	25	0	24	26	25	24	0	24	24	25	24	0	24	24	25	25	0	24	25	24	24	0	24	25	25	24	0	24	25	24	25	0	24	25	25	24	0	23	25	25	25	0	25	25	24	25	0	24	25	25	24	0	24	25	25	25	0	24	25	24	25	0	24	25	24	25	0	23	25	24	26	0	23	25	24	26	0	23	26	24	25	0	23	25	24	26	0	23	25	23	27	0	23	26	23	27	0	23	25	23	27	0	24	25	22	27	0	24	25	22	27	0	24	25	23	27	0	24	25	22	27	0
15705	Mus musculus	ATAC-seq	SRR10407320	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/020/SRR10407320/SRR10407320_1.fastq.gz	The T-box Transcription Factor Eomesodermin Governs Hemogenic Competence of Yolk Sac Mesodermal Progenitors	21	25	41	11	0	20	25	17	36	0	22	28	18	30	0	17	31	13	37	0	36	13	14	35	0	37	13	31	17	0	30	18	28	22	0	35	18	25	20	0	15	37	24	22	0	28	21	15	34	0	23	19	34	22	0	26	22	20	29	0	21	24	29	24	0	23	29	20	26	0	30	23	23	22	0	29	21	22	26	0	29	21	21	27	0	29	21	21	28	0	28	21	22	28	0	28	21	21	28	0	28	21	21	27	0	28	21	22	27	0	28	21	22	27	0	28	21	21	28	0	28	21	22	27	0	28	21	21	28	0	28	21	21	28	0	28	21	21	28	0	28	21	21	28	0	28	22	21	28	0	27	21	21	29	0	28	21	21	28	0	28	21	21	28	0	27	21	21	28	0	28	21	21	28	0	28	21	21	28	0	27	22	21	29	0	27	22	21	28	0	27	22	21	29	0	27	21	21	29	0	26	22	21	29	0	26	23	20	29	0	25	22	20	30	0	25	22	20	31	0	25	22	20	31	0	25	22	19	31	0	26	22	19	32	0	26	23	18	31	0	26	22	18	31	0	27	23	18	31	0
11649	Homo sapiens	ATAC-seq	SRR8815983	ftp.sra.ebi.ac.uk/vol1/fastq/SRR881/003/SRR8815983/SRR8815983_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR881/003/SRR8815983/SRR8815983_2.fastq.gz	Genome-wide maps of chromatin state and mRNA expression patterns in leukemic cell lines	19	27	42	10	0	20	26	19	33	0	21	28	21	28	0	16	34	16	32	0	34	16	17	31	0	32	16	34	17	0	29	20	30	20	0	32	21	25	20	0	16	37	25	20	0	27	22	17	31	0	21	21	35	20	0	24	24	22	27	0	20	26	29	23	0	20	32	22	24	0	28	24	24	21	0	26	24	24	23	0	26	23	23	25	0	26	23	23	26	0	26	23	24	25	0	26	23	23	25	0	25	24	23	25	0	25	24	23	26	0	26	23	24	25	0	25	24	24	25	0	25	24	24	26	0	25	24	23	25	0	25	24	23	26	0	25	23	23	26	0	25	24	23	26	0	26	24	23	25	0	26	23	23	25	0	25	24	23	26	0	25	24	23	26	0	25	24	24	26	0	25	24	23	26	0	25	24	23	26	0	25	25	23	26	0	25	24	23	27	0	24	24	23	27	0	24	24	22	28	0	23	25	22	28	0	23	25	22	28	0	23	25	22	29	0	22	25	21	29	0	23	25	20	30	0	23	24	20	30	0	23	24	19	31	0	24	24	19	31	0	24	24	19	31	0	25	25	18	30	0
13002	Mus musculus	ATAC-seq	SRR8286960	ftp.sra.ebi.ac.uk/vol1/fastq/SRR828/000/SRR8286960/SRR8286960_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR828/000/SRR8286960/SRR8286960_2.fastq.gz	YAP Partially Reprograms Chromatin Accessibility to Directly Induce Adult Cardiogenesis in Vivo	21	26	39	12	0	21	25	17	35	0	22	28	19	29	0	17	33	14	34	0	35	15	14	34	0	34	14	33	16	0	29	19	29	21	0	34	18	25	20	0	15	38	24	21	0	28	21	16	33	0	22	20	35	21	0	26	23	21	29	0	21	24	29	24	0	22	30	20	26	0	30	23	23	22	0	28	22	23	25	0	28	22	22	27	0	27	22	22	27	0	27	22	22	27	0	27	22	22	27	0	27	22	22	27	0	27	22	22	27	0	27	22	22	26	0	27	22	22	27	0	27	22	22	27	0	27	22	22	27	0	27	22	22	27	0	27	22	21	27	0	27	22	22	27	0	27	22	22	27	0	27	22	22	27	0	28	22	22	27	0	28	22	21	27	0	27	22	22	27	0	27	22	22	27	0	27	22	22	27	0	27	22	22	27	0	27	22	21	27	0	27	22	22	27	0	27	22	22	27	0	27	22	22	27	0	27	22	22	27	0	27	22	22	27	0	27	22	22	27	0	27	23	22	27	0	27	23	22	27	0	27	22	22	27	0	27	22	22	27	0	27	22	22	27	0	27	22	22	27	0
3004	Homo sapiens	ATAC-seq	SRR7450366	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/006/SRR7450366/SRR7450366_1.fastq.gz	Gene activation precedes DNA demethylation in response to infection in human dendritic cells	17	26	46	9	0	17	29	23	29	0	18	32	24	24	0	13	39	18	28	0	29	21	20	28	0	27	19	38	14	0	24	24	32	17	0	28	24	29	17	0	13	43	25	18	0	21	29	22	25	0	18	22	41	17	0	20	30	24	24	0	16	28	34	20	0	16	37	24	20	0	22	29	30	17	0	22	28	30	19	0	22	27	27	21	0	21	28	27	22	0	21	28	28	21	0	21	27	28	21	0	21	28	28	21	0	21	28	29	20	0	21	28	28	21	0	21	28	28	21	0	21	28	29	21	0	21	28	28	21	0	21	29	28	21	0	20	28	28	21	0	21	28	27	22	0	21	28	28	21	0	21	28	28	21	0	21	28	27	22	0	21	28	27	21	0	21	28	28	21	0	21	28	27	22	0	21	28	27	22	0	21	28	28	22	0	21	27	27	23	0	21	28	27	22	0	20	28	27	23	0	20	28	26	23	0	20	29	26	24	0	19	28	26	24	0	20	28	25	25	0	20	28	25	26	0	20	28	25	25	0	21	28	24	26	0	21	28	24	26	0	22	27	24	25	0	22	27	23	25	0
